fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,1,49,43,45.000000,50.000000,-226.233333,-190.566667,42.798152,0.780828,0.793745,0.842894,2.529614,4.143423,2.482098,4.363957,0.013184,1.844352,3.153615,1.914099,3.580622,0.014633,1.086675,1.919348,1.194690,2.349436,0.015801,6.205253,10.332134,6.464850,11.731455,0.013923,0.075516,811396.000000,1300970.000000,12.483241,8.673656,13.170324,8.455879,-0.045701,-0.041725
0,1,59,53,57.000000,67.000000,-140.633333,-69.300000,78.464819,0.879518,0.922280,0.903218,2.622305,6.246622,2.367390,6.470998,0.012815,2.140359,5.578596,1.883361,5.966970,0.014696,1.415057,3.967742,1.214547,4.376897,0.016338,7.245660,18.099145,6.385774,19.296490,0.014093,0.063269,862463.000000,2373380.000000,12.322715,8.438948,14.589156,8.092215,0.013582,-0.066207
0,1,60,53,57.000000,61.000000,-140.633333,-112.083333,35.681485,0.911414,0.813065,0.868072,2.106784,3.283024,2.048457,3.536569,0.015310,1.741888,2.527446,1.739934,2.704474,0.012366,1.176284,1.563854,1.208379,1.657341,0.008858,6.032338,8.385896,6.040744,8.901370,0.010869,0.056494,705944.000000,1064170.000000,14.502831,8.247980,15.989139,8.116409,-0.068133,-0.012020
0,1,72,59,68.000000,69.000000,-62.183333,-55.050000,14.264819,0.761529,0.898428,0.829978,3.646786,3.842345,3.552772,3.944023,0.007323,2.652679,3.278848,2.385978,3.645353,0.029709,1.545393,2.246007,1.281897,2.707679,0.052412,8.724619,10.844994,7.825373,12.091238,0.030498,0.162345,1231687.000000,1457489.000000,16.666723,7.875193,16.982342,7.860233,0.045172,-0.081619
0,1,88,81,75.000000,76.000000,-12.283333,-5.150000,14.264819,0.928769,0.900277,0.914523,4.097374,4.846924,3.767257,5.271649,0.023551,3.620395,4.189640,3.365469,4.506994,0.020472,2.566199,2.894350,2.416351,3.073841,0.016869,11.955372,13.708572,11.164738,14.679349,0.019183,0.090345,1565095.000000,1721844.000000,17.320631,7.879359,18.007365,7.837521,-0.016288,-0.020310
0,3,60,57,52.000000,55.000000,-176.300000,-154.900000,28.531485,0.958786,0.806400,0.880380,2.521241,3.293170,2.366610,3.421271,0.012917,2.220054,2.516061,2.077558,2.622444,0.008163,1.589574,1.544635,1.485206,1.612940,0.002892,7.594268,8.342852,7.133093,8.662523,0.006808,0.034301,1178910.000000,1279863.000000,16.050416,27.180594,17.343337,27.117733,-0.105044,-0.174344
0,3,66,59,56.000000,66.000000,-147.766667,-76.450000,78.448152,0.731817,0.890596,0.862653,1.743865,6.608417,1.791117,7.124057,0.017595,1.161259,5.715215,1.320928,6.396431,0.020103,0.630906,3.931763,0.794447,4.555649,0.022258,4.009270,18.489619,4.550765,20.534349,0.019203,0.114068,498730.000000,2614222.000000,13.499642,27.503494,15.560771,27.053976,-0.063789,-0.088259
0,3,67,59,56.000000,64.000000,-147.766667,-90.700000,64.198152,0.863837,0.971235,0.962062,2.017323,4.639375,1.952087,5.003961,0.014662,1.582500,4.303488,1.634921,4.795017,0.016760,1.013546,3.197293,1.120408,3.671838,0.018489,5.474661,14.155770,5.686515,15.671856,0.015791,0.079954,774944.000000,2208626.000000,15.287270,27.210035,19.454684,26.931588,-0.169817,-0.049630
0,3,70,67,65.000000,71.000000,-83.566667,-40.800000,49.898152,1.007697,1.037408,1.025259,2.645309,4.766015,2.531655,4.984609,0.013568,2.447751,4.713344,2.304201,5.052984,0.015726,1.841835,3.736218,1.705620,4.101186,0.017570,8.374448,15.532984,7.883269,16.600399,0.014914,0.064879,1365774.000000,3326947.000000,19.298804,26.847705,25.389188,26.481445,-0.015691,-0.053985
0,3,74,66,67.000000,69.000000,-69.300000,-55.050000,21.381485,0.851282,0.851302,0.857051,3.820366,4.689561,3.663876,4.982894,0.014369,3.096690,3.836708,2.983608,4.114653,0.015020,2.012905,2.507734,1.950054,2.711692,0.015407,10.217112,12.541970,9.864632,13.416969,0.014372,0.072410,1400949.000000,1874002.000000,14.091461,27.228899,14.519115,27.150876,-0.045031,-0.109832
