fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
8,1277,2,1,221,561.483333,1.310051,2.370382,0.026418,2.737014,0.027923,2.606483,0.028168,9.755654,0.024136,0.090319,1079341.000000,30.372583,44.555579,-0.012749
8,1277,2,1,222,566.483333,1.296843,2.683490,0.024056,3.119147,0.025024,2.973586,0.024967,10.932947,0.022006,0.081027,1286418.000000,30.491984,44.593789,0.023238
8,1277,2,1,223,571.500000,1.283535,3.016985,0.023532,3.518857,0.025293,3.350122,0.026194,12.165519,0.022829,0.082884,1374750.000000,30.576132,44.571154,0.013365
8,1277,2,1,224,576.483333,1.286033,3.393454,0.023041,4.009168,0.024782,3.851110,0.025762,13.710204,0.022728,0.080898,1600042.000000,30.744328,44.597895,0.035285
8,1277,2,1,225,581.500000,1.280457,3.798864,0.022547,4.512428,0.024415,4.342237,0.025631,15.281597,0.022650,0.079696,1843447.000000,30.853991,44.621885,0.052298
8,1277,2,1,226,586.483333,1.286087,4.249977,0.021300,5.110884,0.023497,4.964089,0.025138,17.171443,0.022085,0.076126,2096962.000000,31.108092,44.614905,0.065626
8,1277,4,2,227,591.500000,1.307539,2.419311,0.029214,2.796447,0.029250,2.663320,0.027856,9.937933,0.025015,0.093436,1146751.000000,30.124528,44.565912,-0.031054
8,1277,4,2,228,596.500000,1.283588,2.772699,0.026802,3.205426,0.027378,3.034266,0.026824,11.180938,0.024097,0.088735,1246180.000000,30.257971,44.542063,-0.024235
8,1277,4,2,229,601.483333,1.271509,3.161220,0.026346,3.672566,0.027339,3.475878,0.027376,12.627695,0.024690,0.089637,1426601.000000,30.393162,44.543916,-0.017791
8,1277,4,2,230,606.483333,1.262357,3.604181,0.026083,4.207784,0.027525,3.984232,0.028154,14.293499,0.025332,0.090969,1656227.000000,30.548181,44.473549,-0.009950
8,1277,4,2,231,611.483333,1.261072,4.101316,0.024243,4.830773,0.025793,4.597594,0.026682,16.248490,0.024064,0.085129,1904953.000000,30.733868,44.471305,0.009205
