fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
23,3,43,35,35,-367.150000,0.905908,1.597732,0.014709,1.271281,0.021086,0.835187,0.027179,4.547136,0.019655,0.107010,513694.000000,14.729406,17.408441,-0.115522
23,3,43,35,36,-362.150000,0.926777,1.715235,0.013365,1.405316,0.016878,0.948684,0.019851,4.994003,0.015431,0.081229,589493.000000,14.713591,17.420045,-0.062155
23,3,43,35,37,-357.150000,0.926497,1.826977,0.011864,1.508476,0.012904,1.023508,0.013440,5.317740,0.011404,0.059252,631420.000000,14.913258,17.404471,-0.117864
23,3,43,35,38,-352.150000,0.922718,1.931989,0.010120,1.599967,0.009678,1.086238,0.008781,5.600456,0.008329,0.042941,678966.000000,14.717837,17.479263,0.079613
23,3,43,35,39,-347.150000,0.910339,2.022501,0.008482,1.663317,0.007068,1.118886,0.005239,5.784180,0.005880,0.030396,721209.000000,14.748232,17.283252,-0.103009
23,3,43,35,40,-342.150000,0.898927,2.103547,0.007509,1.717522,0.005572,1.144860,0.003270,5.940548,0.004515,0.023429,692310.000000,14.780456,17.402842,0.045896
23,3,43,35,41,-337.150000,0.883549,2.180458,0.006623,1.759011,0.004420,1.156325,0.001876,6.052411,0.003486,0.018245,710276.000000,14.767141,17.447193,0.148078
23,3,43,35,42,-332.150000,0.871054,2.247954,0.004989,1.795263,0.002812,1.166553,0.000378,6.151519,0.002095,0.011045,785535.000000,14.793099,17.440840,0.138421
23,3,43,35,43,-327.150000,0.858216,2.292611,0.004729,1.809494,0.001432,1.160730,-0.002112,6.181260,0.000675,0.003596,797679.000000,14.812628,17.459454,0.099864
23,3,43,35,44,-322.150000,0.836613,2.356375,0.005581,1.821170,0.001610,1.142039,-0.002691,6.193254,0.000749,0.004061,823747.000000,14.839707,17.437367,0.090894
23,3,43,35,45,-317.150000,0.817747,2.424121,0.007382,1.838811,0.006549,1.129996,0.005417,6.227635,0.005833,0.032147,805953.000000,14.874668,17.427896,0.098528
23,3,43,35,46,-312.150000,0.823170,2.535326,0.008500,1.941588,0.009628,1.203253,0.010524,6.556516,0.009036,0.049239,806343.000000,14.943403,17.452203,0.080228
23,3,43,35,47,-307.150000,0.822431,2.639622,0.009292,2.025752,0.011214,1.256631,0.012940,6.820106,0.010635,0.057719,844462.000000,15.022105,17.449844,0.058495
23,3,43,35,48,-302.150000,0.833586,2.780612,0.011122,2.168759,0.015405,1.365865,0.019537,7.281829,0.014892,0.079391,949481.000000,15.145303,17.397689,0.039135
23,3,43,35,49,-297.150000,0.853235,2.948867,0.010838,2.359844,0.014237,1.523475,0.017385,7.904485,0.013720,0.071184,969404.000000,15.235086,17.372225,0.039279
23,3,43,35,50,-292.150000,0.858995,3.100224,0.008376,2.504728,0.009580,1.630717,0.010590,8.366302,0.009100,0.046687,1055238.000000,15.273273,17.386227,0.026123
23,3,43,35,51,-287.150000,0.859709,3.208548,0.007127,2.599805,0.008547,1.696171,0.009831,8.665823,0.008173,0.041754,1144930.000000,15.295290,17.396527,0.037815
23,3,43,35,52,-282.150000,0.867706,3.328905,0.007416,2.726934,0.008328,1.797470,0.009070,9.074525,0.007924,0.040004,1135738.000000,15.392756,17.359018,0.035433
23,3,43,35,53,-277.150000,0.864526,3.455421,0.006268,2.826907,0.006402,1.859207,0.006390,9.384884,0.006031,0.030445,1235126.000000,15.423422,17.303535,0.033263
23,3,43,35,54,-272.150000,0.865522,3.545475,0.005244,2.907921,0.005239,1.916281,0.005114,9.640559,0.004934,0.024822,1241541.000000,15.495806,17.290344,0.032995
23,3,43,35,55,-267.150000,0.861966,3.641341,0.005265,2.979265,0.004789,1.957200,0.004181,9.860550,0.004462,0.022480,1254204.000000,15.574930,17.271909,0.028383
23,3,44,35,35,-367.150000,1.021082,1.710341,0.011470,1.522653,0.014418,1.121826,0.016931,5.486472,0.012924,0.063207,637945.000000,16.318682,17.368835,-0.163252
23,3,44,35,36,-362.150000,1.028101,1.808432,0.011404,1.632419,0.012521,1.216792,0.013105,5.841011,0.010895,0.052301,675385.000000,16.414991,17.329249,-0.098315
23,3,44,35,37,-357.150000,1.016899,1.916582,0.011651,1.727054,0.012187,1.281287,0.012183,6.122869,0.010529,0.050315,735534.000000,16.782189,17.243408,-0.100552
23,3,44,35,38,-352.150000,1.016108,2.031733,0.012343,1.842888,0.011916,1.372885,0.010924,6.485691,0.010210,0.048234,780443.000000,16.605103,17.293555,-0.369337
23,3,44,35,39,-347.150000,0.996495,2.167350,0.011987,1.946654,0.008820,1.431265,0.005057,6.785067,0.006976,0.033069,845216.000000,16.807133,17.146062,-0.092537
23,3,44,35,40,-342.150000,0.966657,2.291522,0.009894,2.014587,0.008749,1.445264,0.007111,6.958992,0.007477,0.036001,930470.000000,16.786693,17.128249,0.072555
23,3,44,35,41,-337.150000,0.971303,2.394076,0.009450,2.122912,0.009320,1.534033,0.008837,7.305378,0.008333,0.039682,983349.000000,16.707997,17.101454,0.012609
23,3,44,35,42,-332.150000,0.956750,2.517774,0.009104,2.212440,0.007873,1.580825,0.006261,7.567720,0.006856,0.032819,997969.000000,16.707828,17.053443,-0.024859
23,3,44,35,43,-327.150000,0.949382,2.623305,0.008156,2.297093,0.007453,1.633016,0.006447,7.824197,0.006638,0.031805,1096337.000000,16.862784,17.089260,0.018305
