fov,line,cellID,parentID,frame,tTrans,w,L,growthRateL2_0,area,growthRatearea2_0,V,growthRateV2_0,SA,growthRateSA2_0,beta2SA_V_2_0,Itot,xCM,yCM,orientation
1,8717,59,54,133,401.850000,1.111501,2.211699,0.014338,2.193179,0.015520,1.786529,0.016092,7.722993,0.013727,0.059453,661368.000000,18.476883,7.065541,0.091275
1,8717,59,54,134,409.000000,1.107100,2.438432,0.013838,2.436558,0.015952,1.992086,0.017592,8.481010,0.014507,0.061805,727751.000000,19.556869,7.046667,-0.116896
1,8717,59,54,135,416.133333,1.120284,2.693677,0.013979,2.748350,0.016921,2.287077,0.019440,9.480331,0.015719,0.065128,907775.000000,20.526186,7.044913,-0.090014
1,8717,59,54,136,423.266667,1.134656,2.975640,0.014116,3.100041,0.018268,2.626400,0.022130,10.607049,0.017270,0.069716,1117739.000000,21.940785,7.041802,-0.063001
1,8717,59,54,137,430.400000,1.169047,3.292918,0.013507,3.556284,0.017985,3.116275,0.022037,12.093794,0.017234,0.066851,1375416.000000,23.928664,7.002782,-0.041155
1,8717,65,53,137,430.400000,0.988211,2.584895,0.028091,2.344851,0.034411,1.729939,0.040090,8.024955,0.032149,0.149136,751848.000000,18.410930,7.064990,0.066598
1,8717,65,53,138,437.533333,1.012045,3.102857,0.024200,2.920428,0.028480,2.224665,0.032130,9.865327,0.026869,0.119153,981252.000000,19.457301,7.076393,0.055951
1,8717,65,53,139,444.666667,1.027901,3.656180,0.023107,3.531446,0.026793,2.749699,0.029972,11.806701,0.025453,0.109292,1183738.000000,20.466762,7.076239,0.038532
1,8717,65,53,140,451.800000,1.045676,4.308176,0.021727,4.270301,0.024468,3.400456,0.026754,14.152734,0.023373,0.097281,1398992.000000,21.739190,7.094543,0.020066
1,8717,65,53,141,458.933333,1.053851,4.991617,0.019194,5.022083,0.020985,4.047598,0.022414,16.526097,0.020133,0.082200,1600945.000000,23.046720,7.115811,-0.018029
1,8717,70,63,141,458.933333,1.171488,1.995462,0.015360,2.043144,0.016746,1.729942,0.017390,7.343975,0.014424,0.061218,755054.000000,15.302558,7.145343,-0.063451
1,8717,70,63,142,466.066667,1.164443,2.214098,0.014471,2.287206,0.016394,1.944533,0.017726,8.099626,0.014540,0.060619,855643.000000,15.788919,7.111904,-0.069041
1,8717,70,63,143,473.216667,1.171208,2.453113,0.014398,2.578731,0.016225,2.222267,0.017491,9.026129,0.014618,0.059360,990669.000000,16.194107,7.140802,-0.086158
1,8717,70,63,144,480.333333,1.169018,2.718006,0.014157,2.884122,0.016140,2.499063,0.017646,9.982088,0.014744,0.058808,1127202.000000,16.679526,7.149727,-0.065651
1,8717,70,63,145,487.466667,1.179661,3.001446,0.013556,3.242049,0.015426,2.850686,0.016857,11.123401,0.014249,0.055651,1298983.000000,17.091265,7.220033,-0.066497
1,8717,70,63,146,494.616667,1.181523,3.299158,0.012621,3.598448,0.013852,3.185427,0.014697,12.246025,0.012821,0.049392,1446874.000000,17.582805,7.219356,-0.062110
1,8717,72,64,141,458.933333,1.083825,2.357994,0.023659,2.303566,0.026774,1.842151,0.029024,8.028822,0.024230,0.105602,802653.000000,19.419400,7.096877,0.049221
1,8717,72,64,142,466.066667,1.087598,2.755949,0.021578,2.743520,0.023710,2.223542,0.025118,9.416503,0.021736,0.092156,986029.000000,20.560437,7.054830,-0.023400
1,8717,72,64,143,473.216667,1.086929,3.207396,0.021348,3.232677,0.023104,2.639899,0.024234,10.952253,0.021432,0.088917,1153701.000000,21.567899,7.075288,0.044121
1,8717,72,64,144,480.333333,1.088552,3.732794,0.020922,3.809048,0.022374,3.136250,0.023285,12.765358,0.020984,0.085310,1360414.000000,22.955195,7.111843,-0.021050
1,8717,72,64,145,487.466667,1.088170,4.320305,0.019064,4.447111,0.020114,3.680551,0.020732,14.769330,0.019021,0.076328,1529925.000000,24.387090,7.185740,0.000468
1,8717,77,69,145,487.466667,1.077838,1.667503,0.015926,1.547987,0.021456,1.193655,0.026517,5.646377,0.019340,0.091674,544581.000000,13.325902,7.219260,-0.061226
1,8717,77,69,146,494.616667,1.101458,1.857379,0.017412,1.785468,0.021099,1.419966,0.024017,6.427149,0.018801,0.085178,628047.000000,13.359963,7.228223,0.013605
1,8717,77,69,147,501.750000,1.102032,2.129425,0.019609,2.086066,0.021877,1.680754,0.023322,7.372359,0.019411,0.085124,805993.000000,13.509503,7.173389,-0.022423
1,8717,77,69,148,508.883333,1.098905,2.453086,0.020618,2.436557,0.022569,1.979191,0.023744,8.468817,0.020344,0.087029,910275.000000,13.689458,7.228799,0.021993
1,8717,77,69,149,516.016667,1.097548,2.850997,0.022184,2.870593,0.022925,2.351196,0.022896,9.830373,0.020840,0.087110,1043446.000000,13.994437,7.237607,0.001251
1,8717,77,69,150,523.150000,1.080655,3.355414,0.022186,3.375430,0.022263,2.747194,0.021664,11.391558,0.020481,0.084904,1224246.000000,14.243027,7.252399,0.003441
1,8717,77,69,151,530.283333,1.070418,3.913052,0.019978,3.942713,0.020170,3.200285,0.019847,13.158883,0.018828,0.077397,1347519.000000,14.515221,7.246631,0.004510
1,8717,81,70,147,501.750000,1.262012,1.961545,0.019915,2.133702,0.017838,1.927453,0.014590,7.776990,0.013962,0.056336,893452.000000,17.436369,7.214169,-0.027773
1,8717,81,70,148,508.883333,1.215089,2.240202,0.018410,2.405198,0.017654,2.128056,0.015925,8.551557,0.014681,0.058996,951889.000000,18.207593,7.128068,0.041660
1,8717,81,70,149,516.016667,1.194390,2.549945,0.017555,2.739485,0.017739,2.410945,0.017170,9.568127,0.015543,0.061683,1029097.000000,19.333683,7.156490,-0.010104
1,8717,81,70,150,523.150000,1.180119,2.878849,0.016626,3.098512,0.017844,2.718636,0.018476,10.673197,0.016171,0.063485,1142718.000000,20.492770,7.235693,-0.026548
1,8717,81,70,151,530.283333,1.184553,3.232793,0.015887,3.528292,0.018305,3.127535,0.020272,12.030458,0.017037,0.065533,1359563.000000,21.842393,7.169638,-0.019750
1,8717,81,70,152,537.416667,1.198408,3.611578,0.014703,4.019938,0.017145,3.623178,0.019177,13.597268,0.016154,0.060623,1557601.000000,23.468788,7.178334,-0.019113
1,8717,82,70,147,501.750000,1.163584,1.829987,0.019115,1.838789,0.025234,1.533517,0.030759,6.689532,0.022649,0.098799,715149.000000,19.184130,7.119077,0.085278
1,8717,82,70,148,508.883333,1.189395,2.079515,0.017290,2.169776,0.021474,1.869990,0.024954,7.770305,0.019370,0.080488,851003.000000,20.306724,7.165485,0.045475
1,8717,82,70,149,516.016667,1.200555,2.342957,0.016935,2.503536,0.019817,2.199255,0.022033,8.836822,0.017846,0.071705,985241.000000,21.723556,7.127748,-0.082438
1,8717,82,70,150,523.150000,1.205593,2.645590,0.016793,2.877591,0.018559,2.561305,0.019684,10.020127,0.016749,0.065522,1091878.000000,23.173644,7.197209,-0.020544
1,8717,82,70,151,530.283333,1.200945,2.976797,0.017038,3.265455,0.017219,2.918523,0.016771,11.231096,0.015481,0.059575,1255452.000000,24.912033,7.165258,0.004622
1,8717,82,70,152,537.416667,1.181021,3.369194,0.016327,3.679758,0.015784,3.259625,0.014670,12.500670,0.014237,0.054601,1485214.000000,26.931675,7.131722,-0.016246
1,8717,83,71,147,501.750000,1.055206,2.765396,0.028455,2.679112,0.021853,2.110769,0.014394,9.167365,0.018784,0.081584,950988.000000,21.501799,7.171202,-0.045463
1,8717,83,71,148,508.883333,0.994696,3.326716,0.026055,3.096741,0.020379,2.327499,0.013840,10.395756,0.018044,0.080593,909374.000000,23.108774,7.114739,0.005596
1,8717,83,71,149,516.016667,0.942011,4.001974,0.023654,3.579470,0.018906,2.570333,0.013244,11.843504,0.017136,0.078961,1195166.000000,24.996275,7.164283,0.001866
1,8717,90,78,152,537.416667,1.068408,2.200257,0.028250,2.105806,0.033900,1.653308,0.038618,7.385170,0.030815,0.137650,746216.000000,20.608589,7.194219,-0.003932
1,8717,90,78,153,544.550000,1.084683,2.643641,0.025262,2.615026,0.029946,2.108757,0.033864,9.008557,0.027731,0.118465,898324.000000,22.291876,7.202250,0.040675
1,8717,90,78,154,551.683333,1.105353,3.153046,0.023656,3.223028,0.029408,2.672109,0.034668,10.949173,0.027785,0.113852,1149556.000000,24.050328,7.149638,-0.004305
1,8717,90,78,155,558.816667,1.145985,3.707788,0.020974,3.967238,0.026298,3.430388,0.030988,13.348849,0.025201,0.098066,1422397.000000,25.953461,7.160343,-0.010386
1,8717,97,87,156,565.950000,1.070730,2.062404,0.020048,1.962245,0.021456,1.535678,0.021970,6.937510,0.018829,0.085278,671019.000000,13.497550,7.292201,0.025835
1,8717,97,87,157,573.100000,1.062566,2.358033,0.016956,2.263272,0.017903,1.776913,0.018180,7.871472,0.015979,0.070886,760641.000000,13.657600,7.309746,0.011133
1,8717,97,87,158,580.233333,1.055684,2.633506,0.015539,2.540982,0.016280,1.997097,0.016467,8.734095,0.014741,0.064409,815073.000000,13.792355,7.306191,-0.000164
