fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,1,17,8,22.000000,31.000000,-379.916667,-334.900000,50.017268,0.869370,0.891376,0.924512,2.072329,4.367823,1.862086,4.433412,0.017349,1.639424,3.722859,1.555067,3.910569,0.018443,1.058128,2.540272,1.064200,2.759502,0.019057,5.659960,12.231386,5.430449,12.817002,0.017175,0.082812,394572.000000,810967.000000,20.987297,15.981289,25.178263,16.222642,0.179942,0.104467
0,1,18,8,22.000000,31.000000,-379.916667,-334.900000,50.017268,0.892032,0.879555,0.865290,1.990997,4.667352,1.877394,4.818027,0.018850,1.605269,3.939172,1.500536,3.948653,0.019351,1.058462,2.657731,0.980773,2.579376,0.019339,5.579571,12.896839,5.210677,12.821568,0.018008,0.093444,368575.000000,875333.000000,22.816395,16.107916,29.183375,16.279460,0.087062,0.100786
0,1,23,7,23.000000,34.000000,-374.900000,-319.916667,59.983934,1.034880,0.871310,0.947870,2.070284,4.250635,1.916455,4.158438,0.012911,1.912662,3.540701,1.702370,3.599382,0.012479,1.451244,2.361308,1.241339,2.494089,0.011629,6.730846,11.635274,5.975475,11.813984,0.011360,0.048369,437498.000000,818398.000000,17.561677,15.968798,18.720875,16.100378,0.048952,-0.040360
0,1,24,7,23.000000,32.000000,-374.900000,-329.900000,50.000601,1.115785,1.067831,1.062166,1.882209,3.630240,1.823590,3.763496,0.014491,1.832967,3.631780,1.727261,3.717418,0.015330,1.476757,2.932330,1.351565,2.955344,0.015647,6.597790,12.178329,6.181355,12.360748,0.013860,0.058914,456172.000000,842941.000000,19.481697,15.936076,21.858114,16.159531,-0.049294,0.022822
0,1,37,33,39.000000,41.000000,-294.916667,-284.916667,15.000601,0.818823,0.875185,0.836590,3.095555,3.661098,2.965184,3.813826,0.016780,2.390827,3.039766,2.223301,3.187398,0.024014,1.486351,2.026930,1.342260,2.137612,0.031022,7.963030,10.066102,7.410500,10.533396,0.023444,0.123546,559937.000000,664969.000000,18.169486,16.043107,18.385169,15.980623,-0.049022,-0.045177
0,1,38,33,39.000000,40.000000,-294.916667,-289.900000,10.017268,0.857128,0.852624,0.854876,3.292072,3.721459,3.096330,3.956719,0.024520,2.664064,3.016996,2.503397,3.210626,0.024882,1.734691,1.962529,1.630892,2.087435,0.024681,8.864711,9.968287,8.359622,10.570573,0.023466,0.119452,650361.000000,710725.000000,20.945575,16.144075,21.241755,16.136261,-0.162216,-0.133801
0,1,64,56,51.000000,52.000000,-234.900000,-229.900000,10.000601,0.998718,1.047863,1.023290,3.451785,3.875469,3.257642,4.106432,0.023155,3.233309,3.825323,2.972602,4.160817,0.033627,2.443287,3.040908,2.190080,3.392483,0.043762,10.830204,12.757880,9.978510,13.846801,0.032762,0.142288,775681.000000,857563.000000,23.900800,16.182708,24.681679,16.223799,0.114801,0.072662
0,1,88,79,61.000000,71.000000,-184.900000,-134.916667,54.983934,0.844339,0.891617,0.877185,2.419505,4.583814,2.320673,4.667234,0.012704,1.889892,3.916402,1.822617,4.054225,0.014536,1.197136,2.676457,1.161623,2.814896,0.016093,6.417907,12.839710,6.198657,13.264511,0.013832,0.072811,373930.000000,787074.000000,21.309790,16.386806,25.538521,16.325100,-0.073353,-0.110045
0,1,92,87,62.000000,74.000000,-179.916667,-119.900000,65.017268,0.896527,1.036762,0.940312,2.071830,4.329460,2.037774,4.605089,0.012543,1.684964,4.257949,1.587327,4.535544,0.016152,1.119239,3.363205,1.008110,3.579352,0.019494,5.835359,14.101413,5.468539,14.925958,0.015448,0.070032,309717.000000,858822.000000,17.883785,16.154236,19.050229,16.207559,-0.029674,-0.083089
0,1,93,87,62.000000,72.000000,-179.916667,-129.900000,55.017268,0.768612,0.743052,0.748837,2.179415,4.051197,2.149623,4.168882,0.012043,1.548345,2.891762,1.489309,3.013754,0.012816,0.892341,1.649351,0.836146,1.738847,0.013312,5.262557,9.456977,5.046600,9.824258,0.012112,0.069776,303006.000000,552473.000000,19.806972,16.020691,22.470432,16.265029,-0.110385,-0.102927
0,1,94,90,62.000000,69.000000,-179.916667,-144.900000,40.017268,0.908107,0.851032,0.871594,2.363773,3.955156,2.264992,4.127261,0.015001,1.969586,3.210539,1.849510,3.375653,0.015042,1.334925,2.088445,1.228389,2.209105,0.014672,6.743615,10.574493,6.329431,11.071514,0.013979,0.069756,371936.000000,606626.000000,26.155069,16.360255,31.654712,16.433692,-0.166053,-0.083396
0,1,104,93,73.000000,82.000000,-124.900000,-79.900000,50.000601,0.816872,0.776775,0.759854,2.154382,3.977417,2.088807,4.104371,0.013509,1.616654,2.960071,1.496417,2.937354,0.013489,0.986366,1.762167,0.870475,1.677480,0.013120,5.528743,9.706132,5.097900,9.569841,0.012596,0.072715,288581.000000,608422.000000,21.764546,16.288281,23.848681,16.355879,-0.067381,-0.127468
0,1,106,92,75.000000,91.000000,-114.900000,-34.900000,85.000601,0.954633,0.814096,0.853441,2.351534,4.356132,2.249622,4.411180,0.007922,2.049280,3.404082,1.914585,3.325099,0.006494,1.455356,2.126221,1.326978,1.998923,0.004820,7.052411,11.141061,6.573357,10.816297,0.005859,0.029785,417441.000000,749801.000000,18.118253,16.329249,19.325190,16.436439,0.071280,-0.053929
0,1,107,92,75.000000,87.000000,-114.900000,-54.900000,65.000601,0.960312,0.803447,0.932477,2.268925,3.899145,2.298305,3.944410,0.008310,1.980971,2.994226,2.097508,3.256414,0.006767,1.411519,1.841070,1.562242,2.153505,0.004938,6.845143,9.841848,7.243917,10.708968,0.006014,0.029326,443078.000000,743203.000000,20.236820,16.150333,22.053632,16.473587,-0.166769,-0.142241
0,1,117,104,83.000000,91.000000,-74.900000,-34.900000,45.000601,0.748791,0.848577,0.806111,2.122055,3.791130,1.992508,3.975885,0.015352,1.468651,3.062535,1.399333,3.230186,0.018590,0.824562,1.984110,0.798702,2.101703,0.021500,4.991914,10.106713,4.778391,10.619349,0.017746,0.099709,307098.000000,647783.000000,23.242403,16.406159,27.177561,16.579752,-0.132135,-0.119983
0,1,118,104,83.000000,90.000000,-74.900000,-39.900000,40.000601,0.770404,0.878035,0.841780,2.293336,3.831966,2.206642,3.942883,0.014511,1.639424,3.199154,1.615667,3.354719,0.018266,0.949333,2.143036,0.959710,2.288922,0.021730,5.550551,10.570204,5.491355,11.066495,0.017519,0.095747,348250.000000,671532.000000,25.213062,16.254708,29.804614,16.570396,-0.122754,-0.111092
0,1,119,107,88.000000,97.000000,-49.900000,-4.900000,50.000601,0.886667,0.896174,0.877091,2.026415,3.749408,1.972417,3.836963,0.013308,1.628039,3.187769,1.550074,3.249638,0.014805,1.068741,2.176605,0.994687,2.206842,0.015938,5.644671,10.556134,5.362015,10.712660,0.013842,0.071848,413135.000000,674503.000000,21.416854,16.563869,24.413722,16.479053,-0.146745,-0.041642
0,1,120,107,88.000000,96.000000,-49.900000,-9.900000,45.000601,0.793346,0.921380,0.873079,2.136268,3.855208,2.051099,3.953339,0.014582,1.559730,3.369927,1.526256,3.522491,0.018586,0.925293,2.365708,0.924189,2.518960,0.022282,5.324371,11.159288,5.230121,11.642291,0.017782,0.095472,380793.000000,709048.000000,23.210755,16.375724,27.540496,16.426032,-0.151865,-0.025042
0,1,122,106,92.000000,102.000000,-29.900000,20.100000,55.000601,0.818386,0.801012,0.796783,2.484919,4.378987,2.411049,4.415104,0.010999,1.889892,3.369927,1.823587,3.318887,0.010888,1.163632,2.072139,1.116633,1.990803,0.010513,6.388813,11.019514,6.163675,10.814883,0.010223,0.056093,416316.000000,702505.000000,18.477098,16.469723,19.384434,16.446940,0.048154,-0.051233
0,1,123,106,92.000000,103.000000,-29.900000,25.083333,59.983934,0.818635,0.810031,0.818533,2.275662,4.123256,2.286559,4.281591,0.010455,1.719118,3.199154,1.726174,3.377759,0.011188,1.054155,1.985729,1.056876,2.129220,0.011674,5.852588,10.492810,5.862223,11.042021,0.010553,0.056280,401919.000000,696549.000000,20.663056,16.325807,23.453875,16.489517,-0.137076,-0.123624
0,1,131,122,103.000000,112.000000,25.083333,70.100000,50.017268,0.835981,0.980583,0.894485,2.412853,4.552696,2.313363,4.612395,0.013801,1.867122,4.257949,1.801849,4.183689,0.016848,1.171430,3.191328,1.138978,3.036458,0.019611,6.336905,14.025006,6.129755,13.724382,0.016120,0.086603,386219.000000,853535.000000,18.546282,16.476692,19.675879,16.500271,0.081308,-0.017900
