,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
0,572258.1992653634,60578.829790643635,735991.673535698,101661.4313295643,184944.17189019726,21263.913098582474,331409.2032113292,60701.19318997568,403970.7109599399,47956.33569928115,-300.0
1,572425.6773443227,52551.78518992897,740610.1407067009,82441.72219589198,184839.902534589,20968.327321292076,331517.5066929283,59307.03460950063,404569.26442711946,57888.69497485251,-295.97701149425285
2,572398.8009096283,59189.726629281664,744543.6001380632,99257.64121102761,184902.54929921057,21225.248873560064,332048.22235013946,63079.02093522885,407685.80443771934,65108.608285100774,-291.95402298850576
3,572595.9497281084,55728.44124720297,746875.8871772881,118330.07655591334,185208.84961342963,20830.544465556268,332759.7387577669,67743.14492221427,407960.50953647046,62242.408025772456,-287.9310344827586
4,572710.7898326914,57906.11259079092,750502.994433495,104259.45338993978,184759.44035339827,22955.51701650948,333086.2735407956,65190.845025478295,407968.0158553152,59443.21525242777,-283.9080459770115
5,572903.0760499627,57984.76505359125,753006.3242738603,107284.94291259236,184652.007904244,24523.969910946926,333649.3701932398,69157.89734636265,410912.7349610392,63004.78356488448,-279.88505747126436
6,572675.8177063145,55913.5633158307,757722.3301310226,92305.33696506257,184547.5246969232,22317.870523913258,333950.87995588686,69187.54392548985,410860.1943862383,61507.87691248011,-275.8620689655172
7,573095.7902444875,58963.631876359716,760219.9241027781,87019.28854256244,184302.67227243845,22099.307193795754,334062.924186385,73247.09325152526,412114.7285698457,58457.17259229706,-271.8390804597701
8,573326.0441401158,56809.914183793466,762873.5067199154,89056.19754496742,183926.00339344132,22045.823459161682,334455.8210820192,73393.84508046166,413985.92764102423,59314.806569881555,-267.81609195402297
9,573670.7779532227,57084.20793576686,764974.5478873096,82135.4750834367,183706.6858665007,22958.072726753533,334248.8309569063,73828.96397771523,413915.50963046955,66089.44087582827,-263.7931034482759
10,574194.2259062354,58370.3949732332,766279.1757088058,83319.24445885373,183720.0171472384,22546.19700753395,333852.19228309765,76816.14383707168,412597.72056354396,65242.874364625466,-259.7701149425287
11,574892.814223801,58217.03338385369,766640.1964066911,101492.55764560032,183767.7564159058,22526.698464025638,333629.7014572857,77976.02112154226,414955.03190980025,68140.98666184902,-255.7471264367816
12,575424.9034583939,59558.35743834056,767328.7366323615,104869.05297700962,183799.99018183857,23598.308279999772,333374.82019735663,79307.26842855813,415315.93644347246,69833.51251301823,-251.72413793103448
13,575250.659751046,59931.28377861235,767330.1747239695,93571.9206511239,183934.55535662893,23333.682824355332,333318.35922452586,78711.50053865206,414468.503981836,70788.33120605134,-247.70114942528735
14,576050.9557490103,58080.59099300306,769130.0289197913,94104.3606253221,183974.3692097502,23900.941452205745,333003.8383224933,78708.42486372699,416364.2783602961,75875.4556061349,-243.67816091954023
15,576451.443835141,58398.94692701357,771814.0110990417,93410.82413657039,184043.08162656668,24128.13176712156,333740.0403012979,79340.62838014006,418739.3793385307,76956.8185747199,-239.6551724137931
16,576434.4154872418,60609.343212330816,774690.4041736858,95291.03322815661,183947.17476244364,24027.768590104497,334032.213993227,80354.64842369226,417260.3581721285,77969.66085384993,-235.632183908046
17,576855.1468223139,62883.72578722786,777666.4012212588,97004.1732807811,183850.02100576498,23932.846244145414,333692.1966218039,80560.66905392923,417845.3346621156,76136.62805007143,-231.60919540229884
18,578777.5833620148,66462.45791364153,778628.9077029862,103662.23695572681,183700.5202833011,24593.39130359131,333748.02675593784,82455.14041818434,419292.93668090354,77458.53669522011,-227.58620689655172
19,579130.335847158,62982.29949004371,781045.6089102089,106413.80585641539,183526.06479064713,23567.039809225706,333750.64613914804,80142.02115609497,418366.4423135393,74700.73740231538,-223.5632183908046
