,fov,line,cellID,parentID,frame,tTrans,L,V,Itot,xCM,yCM,orientation,der
0,0,1,49,43,45,-226.233333,2.573354,1.125569,811396.0,12.483241,8.673656,-0.045701,0.04387163756409522
1,0,1,49,43,46,-219.1,2.869843,1.470357,1107268.0,12.632588,8.564157,-0.0246,0.03990624018253462
2,0,1,49,43,47,-211.966667,3.158292,1.719634,1010411.0,12.614022,8.504771,-0.050973,0.030677546012206916
3,0,1,49,43,48,-204.833333,3.485887,1.92654,1052097.0,12.768293,8.520457,-0.049807,0.018879563421817024
4,0,1,49,43,49,-197.7,3.789392,2.007121,1209098.0,12.931889,8.470921,-0.044668,0.009339649969142508
5,0,1,49,43,50,-190.566667,4.124825,2.009432,1300970.0,13.170324,8.455879,-0.041725,0.006334423972013592
6,0,1,59,53,57,-140.633333,2.579526,1.351871,862463.0,12.322715,8.438948,0.013582,0.014474685314685268
7,0,1,59,53,58,-133.483333,2.736736,1.441212,747788.0,12.472699,8.349128,-0.077562,0.01644189329167726
8,0,1,59,53,59,-126.366667,2.936066,1.573012,973590.0,12.644458,8.370361,-0.0238,0.022897754385964947
9,0,1,59,53,60,-119.233333,3.176065,1.730949,1151079.0,12.721319,8.378952,-0.028551,0.03129122374370016
10,0,1,59,53,61,-112.083333,3.507501,2.027583,1276309.0,12.870257,8.3226,-0.045689,0.037976941026959844
11,0,1,59,53,62,-104.966667,3.852678,2.290914,1460299.0,13.009361,8.283866,-0.050268,0.044492335282651056
12,0,1,59,53,63,-97.833333,4.253798,2.646088,1629852.0,13.260405,8.25013,-0.049214,0.049451559073042516
13,0,1,59,53,64,-90.7,4.719039,3.032652,1759663.0,13.572122,8.209415,-0.066964,0.04950486039569271
14,0,1,59,53,65,-83.566667,5.189464,3.386861,2064851.0,13.844701,8.172318,-0.067617,0.04529722359396435
15,0,1,59,53,66,-76.45,5.69579,3.705178,2175961.0,14.231054,8.098154,-0.062657,0.040012983661863476
16,0,1,59,53,67,-69.3,6.256488,3.944522,2373380.0,14.589156,8.092215,-0.066207,0.03777137126248234
17,0,1,60,53,57,-140.633333,2.137429,1.218084,705944.0,14.502831,8.24798,-0.068133,0.016380792540792565
18,0,1,60,53,58,-133.483333,2.433038,1.350755,807740.0,14.947129,8.227312,-0.024309,0.015113147123667335
19,0,1,60,53,59,-126.366667,2.71311,1.436781,872777.0,15.270557,8.202901,-0.026102,0.012336519818063682
20,0,1,60,53,60,-119.233333,3.02542,1.529107,989381.0,15.577699,8.183339,-0.007831,0.00955678679626042
21,0,1,60,53,61,-112.083333,3.309242,1.570201,1064170.0,15.989139,8.116409,-0.01202,0.008279570059570035
23,0,1,72,59,69,-55.05,3.842345,2.246007,1457489.0,16.982342,7.860233,-0.081619,0.0982169204774262
24,0,1,88,81,75,-12.283333,4.097374,2.566199,1565095.0,17.320631,7.879359,-0.016288,0.046002478785162566
25,0,1,88,81,76,-5.15,4.846924,2.89435,1721844.0,18.007365,7.837521,-0.02031,0.046002478785162566
26,0,3,60,57,52,-176.3,2.493323,1.507128,1178910.0,16.050416,27.180594,-0.105044,0.0028931468531468484
27,0,3,60,57,53,-169.15,2.701927,1.531027,1124962.0,16.317069,27.236035,-0.195003,0.003764742902692933
28,0,3,60,57,54,-162.033333,2.95926,1.545287,1244524.0,16.797558,27.181205,-0.169328,0.005726315789473677
29,0,3,60,57,55,-154.9,3.288461,1.609414,1279863.0,17.343337,27.117733,-0.174344,0.006809673215405252
31,0,3,66,59,57,-140.633333,2.159716,0.972059,682771.0,13.510285,27.446682,-0.079417,0.043371581017273474
32,0,3,66,59,58,-133.483333,2.502848,1.271039,871168.0,13.562132,27.428639,-0.048328,0.04331896879475975
33,0,3,66,59,59,-126.366667,2.902789,1.607758,1037415.0,13.6986,27.388803,-0.109547,0.039687631795538254
34,0,3,66,59,60,-119.233333,3.254813,1.869901,1210992.0,13.907,27.359441,-0.120618,0.03507481173714807
35,0,3,66,59,61,-112.083333,3.617894,2.087525,1364771.0,14.108686,27.307635,-0.11132,0.033962110255911844
36,0,3,66,59,62,-104.966667,4.065245,2.327541,1546633.0,14.335832,27.25111,-0.127707,0.03732470371172559
37,0,3,66,59,63,-97.833333,4.565908,2.582478,1723558.0,14.552839,27.181174,-0.088408,0.04479668184802355
38,0,3,66,59,64,-90.7,5.138815,2.943693,1995131.0,14.67125,27.219952,-0.078872,0.0546596834567772
39,0,3,66,59,65,-83.566667,5.817034,3.351747,2259905.0,15.116579,27.100059,-0.089376,0.06337438897044473
40,0,3,66,59,66,-76.45,6.613664,3.874759,2614222.0,15.560771,27.053976,-0.088259,0.0667961112895891
41,0,3,67,59,56,-147.766667,1.997076,1.032472,774944.0,15.28727,27.210035,-0.169817,0.0434368183703907
42,0,3,67,59,57,-140.633333,2.274201,1.35474,912292.0,15.697778,27.171707,-0.157841,0.043311067601194735
43,0,3,67,59,58,-133.483333,2.557916,1.639752,1150963.0,16.03706,27.272119,0.005429,0.0421450357180962
44,0,3,67,59,59,-126.366667,2.860023,1.971222,1332108.0,16.398795,27.164192,0.046463,0.037718623348494726
45,0,3,67,59,60,-119.233333,3.197064,2.208451,1516665.0,16.958323,27.151457,0.061645,0.032805561659391476
46,0,3,67,59,61,-112.083333,3.513319,2.413725,1724360.0,17.517737,27.061742,0.05026,0.03155658545214613
47,0,3,67,59,62,-104.966667,3.876757,2.634176,1715987.0,18.070407,26.981936,0.020172,0.03417628689464857
48,0,3,67,59,63,-97.833333,4.246027,2.870049,1973022.0,18.774794,26.985658,-0.025771,0.03854333377889022
49,0,3,67,59,64,-90.7,4.631898,3.188681,2208626.0,19.454684,26.931588,-0.04963,0.04058490414384041
50,0,3,70,67,65,-83.566667,2.654652,1.805718,1365774.0,19.298804,26.847705,-0.015691,0.03609025592083115
51,0,3,70,67,66,-76.45,2.931181,2.036875,1394903.0,20.194571,26.782612,0.01203,0.03877138538696143
52,0,3,70,67,67,-69.3,3.226604,2.345088,1687439.0,20.918395,26.677797,-0.155144,0.04394332711451211
53,0,3,70,67,68,-62.183333,3.552461,2.668921,1902579.0,22.056715,26.600591,-0.129911,0.048850755902100924
54,0,3,70,67,69,-55.05,3.909486,3.040678,2283173.0,22.988406,26.535326,-0.106821,0.051147211031694416
55,0,3,70,67,70,-47.933333,4.304267,3.434776,2740072.0,24.151826,26.458511,-0.09084,0.049843037470218746
56,0,3,70,67,71,-40.8,4.756425,3.765243,3326947.0,25.389188,26.481445,-0.053985,0.048632258531910076
57,0,3,74,66,67,-69.3,3.856538,2.060279,1400949.0,14.091461,27.228899,-0.045031,0.03492412014406935
58,0,3,74,66,68,-62.183333,4.272787,2.299408,1679460.0,14.351486,27.132669,-0.037641,0.03554392982456141
59,0,3,74,66,69,-55.05,4.733963,2.56678,1874002.0,14.519115,27.150876,-0.109832,0.036162291409452846
